,Scenario,Trial,Inspection,Interval,Time,Defects,Rate
0,140,1,1,7,7,1,70
1,140,1,2,7,14,5,70
2,140,1,3,5,19,1,50
3,140,1,4,9,28,1,90
4,140,1,5,3,31,3,30
5,140,1,6,9,40,5,90
6,140,1,7,6,46,1,60
7,140,1,8,8,54,1,80
8,140,1,9,6,60,7,60
9,140,1,10,2,62,1,20
10,140,1,11,9,71,1,90
11,140,1,12,4,75,1,40
12,140,1,13,9,84,1,90
13,140,1,14,7,91,4,70
14,140,1,15,3,94,1,30
15,140,1,16,8,102,1,80
16,140,1,17,8,110,12,80
17,140,1,18,9,119,1,90
18,140,1,19,5,124,1,50
19,140,1,20,9,133,9,90
20,140,1,21,7,140,8,70
21,140,1,22,2,142,2,20
22,140,1,23,4,146,2,40
23,140,1,24,2,148,1,20
24,140,1,25,8,156,6,80
25,140,1,26,7,163,1,70
26,140,1,27,6,169,4,60
27,140,1,28,6,175,3,60
28,140,1,29,8,183,1,80
29,140,1,30,2,185,1,20
30,140,1,31,9,194,8,90
31,140,1,32,5,199,4,50
32,140,1,33,2,201,3,20
33,140,1,34,2,203,1,20
34,140,1,35,9,212,2,90
35,140,1,36,8,220,3,80
36,140,1,37,7,227,5,70
37,140,1,38,7,234,1,70
38,140,1,39,8,242,1,80
39,140,1,40,2,244,5,20
40,140,1,41,6,250,1,60
41,140,1,42,4,254,1,40
42,140,1,43,8,262,1,80
43,140,1,44,5,267,7,50
44,140,1,45,9,276,1,90
45,140,1,46,6,282,1,60
46,140,1,47,7,289,7,70
47,140,1,48,9,298,9,90
48,140,1,49,9,307,1,90
49,140,1,50,9,316,1,90
50,140,1,51,3,319,6,30
51,140,1,52,9,328,2,90
52,140,1,53,4,332,1,40
53,140,1,54,3,335,6,30
54,140,1,55,5,340,1,50
55,140,1,56,6,346,1,60
56,140,1,57,2,348,2,20
57,140,1,58,6,354,3,60
58,140,1,59,2,356,1,20
59,140,1,60,7,363,2,70
60,140,1,61,5,368,1,50
61,140,1,62,2,370,1,20
62,140,1,63,3,373,1,30
63,140,1,64,3,376,0,30
64,140,1,65,2,378,2,20
65,140,1,66,5,383,1,50
66,140,1,67,8,391,5,80
67,140,1,68,9,400,1,90
68,140,1,69,4,404,1,40
69,140,1,70,9,413,5,90
70,140,1,71,9,422,8,90
71,140,1,72,7,429,1,70
72,140,1,73,4,433,6,40
73,140,1,74,4,437,3,40
74,140,1,75,3,440,4,30
75,140,1,76,8,448,1,80
76,140,1,77,7,455,1,70
77,140,1,78,4,459,1,40
78,140,1,79,9,468,1,90
79,140,1,80,3,471,4,30
80,140,1,81,6,477,1,60
81,140,1,82,8,485,7,80
82,140,1,83,2,487,5,20
83,140,1,84,4,491,5,40
84,140,1,85,8,499,1,80
85,140,1,86,4,503,1,40
86,140,1,87,7,510,2,70
87,140,1,88,4,514,1,40
88,140,1,89,7,521,1,70
89,140,1,90,8,529,1,80
90,140,1,91,8,537,9,80
91,140,1,92,7,544,6,70
92,140,1,93,6,550,1,60
93,140,1,94,4,554,2,40
94,140,1,95,5,559,4,50
95,140,1,96,7,566,8,70
96,140,1,97,5,571,1,50
97,140,1,98,9,580,7,90
98,140,1,99,9,589,1,90
99,140,1,100,2,591,1,20
100,140,1,101,2,593,1,20
101,140,1,102,9,602,1,90
102,140,1,103,7,609,6,70
103,140,1,104,2,611,1,20
104,140,1,105,6,617,1,60
105,140,1,106,2,619,1,20
106,140,1,107,5,624,1,50
107,140,1,108,7,631,1,70
108,140,1,109,4,635,1,40
109,140,1,110,2,637,4,20
110,140,1,111,8,645,6,80
111,140,1,112,5,650,5,50
112,140,1,113,6,656,5,60
113,140,1,114,5,661,0,50
114,140,1,115,7,668,2,70
115,140,1,116,9,677,7,90
116,140,1,117,6,683,3,60
117,140,1,118,6,689,3,60
118,140,1,119,3,692,1,30
119,140,1,120,3,695,1,30
120,140,1,121,6,701,5,60
121,140,1,122,3,704,1,30
122,140,1,123,7,711,0,70
123,140,1,124,9,720,1,90
124,140,1,125,8,728,5,80
125,140,1,126,6,734,1,60
126,140,1,127,3,737,1,30
127,140,1,128,5,742,1,50
128,140,1,129,7,749,1,70
129,140,1,130,4,753,1,40
130,140,1,131,6,759,1,60
131,140,1,132,4,763,1,40
132,140,1,133,7,770,1,70
133,140,1,134,6,776,5,60
134,140,1,135,5,781,5,50
135,140,1,136,8,789,8,80
136,140,1,137,7,796,1,70
137,140,1,138,2,798,1,20
138,140,1,139,3,801,1,30
139,140,1,140,4,805,1,40
140,140,1,141,8,813,5,80
141,140,1,142,7,820,7,70
142,140,1,143,9,829,1,90
143,140,1,144,3,832,2,30
144,140,1,145,9,841,4,90
145,140,1,146,9,850,1,90
146,140,1,147,5,855,4,50
147,140,1,148,6,861,6,60
148,140,1,149,8,869,1,80
149,140,1,150,9,878,4,90
150,140,1,151,8,886,2,80
151,140,1,152,5,891,6,50
152,140,1,153,9,900,1,90
153,140,1,154,7,907,3,70
154,140,1,155,3,910,4,30
155,140,1,156,8,918,1,80
156,140,1,157,7,925,7,70
157,140,1,158,8,933,1,80
158,140,1,159,9,942,1,90
159,140,1,160,5,947,1,50
160,140,1,161,7,954,7,70
161,140,1,162,4,958,5,40
162,140,1,163,3,961,1,30
163,140,1,164,9,970,1,90
164,140,1,165,8,978,5,80
165,140,1,166,4,982,3,40
166,140,1,167,2,984,2,20
167,140,1,168,3,987,2,30
168,140,1,169,5,992,1,50
169,140,1,170,9,1001,1,90
170,140,1,171,3,1004,3,30
171,140,1,172,4,1008,0,40
172,140,1,173,5,1013,2,50
173,140,1,174,9,1022,0,90
174,140,1,175,3,1025,2,30
175,140,1,176,3,1028,1,30
176,140,1,177,8,1036,4,80
177,140,1,178,2,1038,4,20
178,140,1,179,5,1043,1,50
179,140,1,180,3,1046,1,30
180,140,1,181,9,1055,4,90
181,140,1,182,7,1062,1,70
182,140,1,183,8,1070,5,80
183,140,1,184,7,1077,5,70
184,140,1,185,7,1084,3,70
185,140,1,186,2,1086,0,20
186,140,1,187,5,1091,3,50
187,140,1,188,9,1100,3,90
188,140,1,189,3,1103,1,30
189,140,1,190,7,1110,1,70
190,140,1,191,4,1114,1,40
191,140,1,192,7,1121,2,70
192,140,1,193,2,1123,2,20
193,140,1,194,7,1130,2,70
194,140,1,195,5,1135,2,50
195,140,1,196,5,1140,1,50
196,140,1,197,5,1145,1,50
197,140,1,198,7,1152,2,70
198,140,1,199,3,1155,1,30
199,140,1,200,3,1158,2,30
200,140,1,201,7,1165,2,70
201,140,1,202,3,1168,2,30
202,140,1,203,8,1176,1,80
203,140,1,204,6,1182,1,60
204,140,1,205,7,1189,4,70
205,140,1,206,4,1193,1,40
206,140,1,207,8,1201,1,80
207,140,1,208,8,1209,6,80
208,140,1,209,9,1218,1,90
209,140,1,210,4,1222,8,40
210,140,1,211,8,1230,7,80
211,140,1,212,9,1239,4,90
212,140,1,213,7,1246,2,70
213,140,1,214,2,1248,1,20
214,140,1,215,7,1255,5,70
215,140,1,216,8,1263,4,80
216,140,1,217,3,1266,1,30
217,140,1,218,7,1273,1,70
218,140,1,219,5,1278,5,50
219,140,1,220,8,1286,4,80
220,140,1,221,7,1293,1,70
221,140,1,222,3,1296,1,30
222,140,1,223,7,1303,3,70
223,140,1,224,7,1310,1,70
224,140,1,225,4,1314,3,40
225,140,1,226,9,1323,1,90
226,140,1,227,7,1330,1,70
227,140,1,228,5,1335,4,50
228,140,1,229,8,1343,6,80
229,140,1,230,9,1352,1,90
230,140,1,231,6,1358,1,60
231,140,1,232,5,1363,6,50
232,140,1,233,5,1368,1,50
233,140,1,234,2,1370,1,20
234,140,1,235,4,1374,1,40
235,140,1,236,6,1380,1,60
236,140,1,237,8,1388,7,80
237,140,1,238,8,1396,6,80
238,140,1,239,7,1403,1,70
239,140,1,240,3,1406,1,30
240,140,1,241,9,1415,1,90
241,140,1,242,5,1420,5,50
242,140,1,243,9,1429,1,90
243,140,1,244,6,1435,8,60
244,140,1,245,6,1441,6,60
245,140,1,246,3,1444,7,30
246,140,1,247,9,1453,1,90
247,140,1,248,9,1462,6,90
248,140,1,249,8,1470,6,80
249,140,1,250,5,1475,1,50
250,140,1,251,6,1481,9,60
251,140,1,252,6,1487,8,60
252,140,1,253,8,1495,5,80
253,140,1,254,3,1498,1,30
254,140,1,255,3,1501,2,30
255,140,1,256,4,1505,3,40
256,140,1,257,6,1511,1,60
257,140,1,258,8,1519,6,80
258,140,1,259,2,1521,1,20
259,140,1,260,8,1529,1,80
260,140,1,261,4,1533,1,40
261,140,1,262,6,1539,3,60
262,140,1,263,8,1547,4,80
263,140,1,264,7,1554,5,70
264,140,1,265,3,1557,1,30
265,140,1,266,8,1565,1,80
266,140,1,267,6,1571,6,60
267,140,1,268,3,1574,9,30
268,140,1,269,2,1576,2,20
269,140,1,270,9,1585,1,90
270,140,1,271,5,1590,1,50
271,140,1,272,8,1598,3,80
272,140,1,273,8,1606,10,80
273,140,1,274,8,1614,1,80
274,140,1,275,3,1617,1,30
275,140,1,276,6,1623,1,60
276,140,1,277,4,1627,6,40
277,140,1,278,9,1636,3,90
278,140,1,279,8,1644,5,80
279,140,1,280,8,1652,1,80
280,140,1,281,7,1659,4,70
281,140,1,282,4,1663,1,40
282,140,1,283,2,1665,1,20
283,140,1,284,9,1674,8,90
284,140,1,285,6,1680,1,60
285,140,1,286,2,1682,6,20
286,140,1,287,8,1690,7,80
287,140,1,288,9,1699,1,90
288,140,1,289,3,1702,7,30
289,140,1,290,2,1704,4,20
290,140,1,291,9,1713,4,90
291,140,1,292,9,1722,9,90
292,140,1,293,7,1729,1,70
293,140,1,294,5,1734,2,50
294,140,1,295,4,1738,2,40
295,140,1,296,9,1747,4,90
296,140,1,297,4,1751,1,40
297,140,1,298,9,1760,1,90
298,140,1,299,5,1765,1,50
299,140,1,300,7,1772,6,70
300,140,1,301,6,1778,1,60
301,140,1,302,5,1783,1,50
302,140,1,303,6,1789,5,60
303,140,1,304,6,1795,6,60
304,140,1,305,9,1804,9,90
305,140,1,306,2,1806,3,20
306,140,1,307,7,1813,1,70
307,140,1,308,8,1821,1,80
308,140,1,309,4,1825,1,40
309,140,1,310,6,1831,1,60
310,140,1,311,4,1835,1,40
311,140,1,312,6,1841,5,60
312,140,1,313,5,1846,3,50
313,140,1,314,4,1850,1,40
314,140,1,315,5,1855,4,50
315,140,1,316,9,1864,6,90
316,140,1,317,2,1866,4,20
317,140,1,318,4,1870,3,40
318,140,1,319,8,1878,3,80
