,Scenario,lambda,p,q
0,1.0,1.0,0.05,0.05
1,2.0,1.0,0.05,0.1
2,3.0,1.0,0.05,0.15
3,4.0,1.0,0.05,0.2
4,5.0,1.0,0.05,0.25
5,6.0,1.0,0.05,0.3
6,7.0,1.0,0.05,0.35
7,8.0,1.0,0.05,0.4
8,9.0,1.0,0.05,0.45
9,10.0,1.0,0.05,0.5
10,11.0,1.0,0.05,0.55
11,12.0,1.0,0.05,0.6
12,13.0,1.0,0.05,0.65
13,14.0,1.0,0.05,0.7
14,15.0,1.0,0.05,0.75
15,16.0,1.0,0.05,0.8
16,17.0,1.0,0.05,0.85
17,18.0,1.0,0.05,0.9
18,19.0,1.0,0.05,0.95
19,20.0,1.0,0.1,0.05
20,21.0,1.0,0.1,0.1
21,22.0,1.0,0.1,0.15
22,23.0,1.0,0.1,0.2
23,24.0,1.0,0.1,0.25
24,25.0,1.0,0.1,0.3
25,26.0,1.0,0.1,0.35
26,27.0,1.0,0.1,0.4
27,28.0,1.0,0.1,0.45
28,29.0,1.0,0.1,0.5
29,30.0,1.0,0.1,0.55
30,31.0,1.0,0.1,0.6
31,32.0,1.0,0.1,0.65
32,33.0,1.0,0.1,0.7
33,34.0,1.0,0.1,0.75
34,35.0,1.0,0.1,0.8
35,36.0,1.0,0.1,0.85
36,37.0,1.0,0.1,0.9
37,38.0,1.0,0.1,0.95
38,39.0,1.0,0.15,0.05
39,40.0,1.0,0.15,0.1
40,41.0,1.0,0.15,0.15
41,42.0,1.0,0.15,0.2
42,43.0,1.0,0.15,0.25
43,44.0,1.0,0.15,0.3
44,45.0,1.0,0.15,0.35
45,46.0,1.0,0.15,0.4
46,47.0,1.0,0.15,0.45
47,48.0,1.0,0.15,0.5
48,49.0,1.0,0.15,0.55
49,50.0,1.0,0.15,0.6
50,51.0,1.0,0.15,0.65
51,52.0,1.0,0.15,0.7
52,53.0,1.0,0.15,0.75
53,54.0,1.0,0.15,0.8
54,55.0,1.0,0.15,0.85
55,56.0,1.0,0.15,0.9
56,57.0,1.0,0.15,0.95
57,58.0,1.0,0.2,0.05
58,59.0,1.0,0.2,0.1
59,60.0,1.0,0.2,0.15
60,61.0,1.0,0.2,0.2
61,62.0,1.0,0.2,0.25
62,63.0,1.0,0.2,0.3
63,64.0,1.0,0.2,0.35
64,65.0,1.0,0.2,0.4
65,66.0,1.0,0.2,0.45
66,67.0,1.0,0.2,0.5
67,68.0,1.0,0.2,0.55
68,69.0,1.0,0.2,0.6
69,70.0,1.0,0.2,0.65
70,71.0,1.0,0.2,0.7
71,72.0,1.0,0.2,0.75
72,73.0,1.0,0.2,0.8
73,74.0,1.0,0.2,0.85
74,75.0,1.0,0.2,0.9
75,76.0,1.0,0.2,0.95
76,77.0,1.0,0.25,0.05
77,78.0,1.0,0.25,0.1
78,79.0,1.0,0.25,0.15
79,80.0,1.0,0.25,0.2
80,81.0,1.0,0.25,0.25
81,82.0,1.0,0.25,0.3
82,83.0,1.0,0.25,0.35
83,84.0,1.0,0.25,0.4
84,85.0,1.0,0.25,0.45
85,86.0,1.0,0.25,0.5
86,87.0,1.0,0.25,0.55
87,88.0,1.0,0.25,0.6
88,89.0,1.0,0.25,0.65
89,90.0,1.0,0.25,0.7
90,91.0,1.0,0.25,0.75
91,92.0,1.0,0.25,0.8
92,93.0,1.0,0.25,0.85
93,94.0,1.0,0.25,0.9
94,95.0,1.0,0.25,0.95
95,96.0,1.0,0.3,0.05
96,97.0,1.0,0.3,0.1
97,98.0,1.0,0.3,0.15
98,99.0,1.0,0.3,0.2
99,100.0,1.0,0.3,0.25
100,101.0,1.0,0.3,0.3
101,102.0,1.0,0.3,0.35
102,103.0,1.0,0.3,0.4
103,104.0,1.0,0.3,0.45
104,105.0,1.0,0.3,0.5
105,106.0,1.0,0.3,0.55
106,107.0,1.0,0.3,0.6
107,108.0,1.0,0.3,0.65
108,109.0,1.0,0.3,0.7
109,110.0,1.0,0.3,0.75
110,111.0,1.0,0.3,0.8
111,112.0,1.0,0.3,0.85
112,113.0,1.0,0.3,0.9
113,114.0,1.0,0.3,0.95
114,115.0,1.0,0.35,0.05
115,116.0,1.0,0.35,0.1
116,117.0,1.0,0.35,0.15
117,118.0,1.0,0.35,0.2
118,119.0,1.0,0.35,0.25
119,120.0,1.0,0.35,0.3
120,121.0,1.0,0.35,0.35
121,122.0,1.0,0.35,0.4
122,123.0,1.0,0.35,0.45
123,124.0,1.0,0.35,0.5
124,125.0,1.0,0.35,0.55
125,126.0,1.0,0.35,0.6
126,127.0,1.0,0.35,0.65
127,128.0,1.0,0.35,0.7
128,129.0,1.0,0.35,0.75
129,130.0,1.0,0.35,0.8
130,131.0,1.0,0.35,0.85
131,132.0,1.0,0.35,0.9
132,133.0,1.0,0.35,0.95
133,134.0,1.0,0.4,0.05
134,135.0,1.0,0.4,0.1
135,136.0,1.0,0.4,0.15
136,137.0,1.0,0.4,0.2
137,138.0,1.0,0.4,0.25
138,139.0,1.0,0.4,0.3
139,140.0,1.0,0.4,0.35
140,141.0,1.0,0.4,0.4
141,142.0,1.0,0.4,0.45
142,143.0,1.0,0.4,0.5
143,144.0,1.0,0.4,0.55
144,145.0,1.0,0.4,0.6
145,146.0,1.0,0.4,0.65
146,147.0,1.0,0.4,0.7
147,148.0,1.0,0.4,0.75
148,149.0,1.0,0.4,0.8
149,150.0,1.0,0.4,0.85
150,151.0,1.0,0.4,0.9
151,152.0,1.0,0.4,0.95
152,153.0,1.0,0.45,0.05
153,154.0,1.0,0.45,0.1
154,155.0,1.0,0.45,0.15
155,156.0,1.0,0.45,0.2
156,157.0,1.0,0.45,0.25
157,158.0,1.0,0.45,0.3
158,159.0,1.0,0.45,0.35
159,160.0,1.0,0.45,0.4
160,161.0,1.0,0.45,0.45
161,162.0,1.0,0.45,0.5
162,163.0,1.0,0.45,0.55
163,164.0,1.0,0.45,0.6
164,165.0,1.0,0.45,0.65
165,166.0,1.0,0.45,0.7
166,167.0,1.0,0.45,0.75
167,168.0,1.0,0.45,0.8
168,169.0,1.0,0.45,0.85
169,170.0,1.0,0.45,0.9
170,171.0,1.0,0.45,0.95
171,172.0,1.0,0.5,0.05
172,173.0,1.0,0.5,0.1
173,174.0,1.0,0.5,0.15
174,175.0,1.0,0.5,0.2
175,176.0,1.0,0.5,0.25
176,177.0,1.0,0.5,0.3
177,178.0,1.0,0.5,0.35
178,179.0,1.0,0.5,0.4
179,180.0,1.0,0.5,0.45
180,181.0,1.0,0.5,0.5
181,182.0,1.0,0.5,0.55
182,183.0,1.0,0.5,0.6
183,184.0,1.0,0.5,0.65
184,185.0,1.0,0.5,0.7
185,186.0,1.0,0.5,0.75
186,187.0,1.0,0.5,0.8
187,188.0,1.0,0.5,0.85
188,189.0,1.0,0.5,0.9
189,190.0,1.0,0.5,0.95
190,191.0,1.0,0.55,0.05
191,192.0,1.0,0.55,0.1
192,193.0,1.0,0.55,0.15
193,194.0,1.0,0.55,0.2
194,195.0,1.0,0.55,0.25
195,196.0,1.0,0.55,0.3
196,197.0,1.0,0.55,0.35
197,198.0,1.0,0.55,0.4
198,199.0,1.0,0.55,0.45
199,200.0,1.0,0.55,0.5
200,201.0,1.0,0.55,0.55
201,202.0,1.0,0.55,0.6
202,203.0,1.0,0.55,0.65
203,204.0,1.0,0.55,0.7
204,205.0,1.0,0.55,0.75
205,206.0,1.0,0.55,0.8
206,207.0,1.0,0.55,0.85
207,208.0,1.0,0.55,0.9
208,209.0,1.0,0.55,0.95
209,210.0,1.0,0.6,0.05
210,211.0,1.0,0.6,0.1
211,212.0,1.0,0.6,0.15
212,213.0,1.0,0.6,0.2
213,214.0,1.0,0.6,0.25
214,215.0,1.0,0.6,0.3
215,216.0,1.0,0.6,0.35
216,217.0,1.0,0.6,0.4
217,218.0,1.0,0.6,0.45
218,219.0,1.0,0.6,0.5
219,220.0,1.0,0.6,0.55
220,221.0,1.0,0.6,0.6
221,222.0,1.0,0.6,0.65
222,223.0,1.0,0.6,0.7
223,224.0,1.0,0.6,0.75
224,225.0,1.0,0.6,0.8
225,226.0,1.0,0.6,0.85
226,227.0,1.0,0.6,0.9
227,228.0,1.0,0.6,0.95
228,229.0,1.0,0.65,0.05
229,230.0,1.0,0.65,0.1
230,231.0,1.0,0.65,0.15
231,232.0,1.0,0.65,0.2
232,233.0,1.0,0.65,0.25
233,234.0,1.0,0.65,0.3
234,235.0,1.0,0.65,0.35
235,236.0,1.0,0.65,0.4
236,237.0,1.0,0.65,0.45
237,238.0,1.0,0.65,0.5
238,239.0,1.0,0.65,0.55
239,240.0,1.0,0.65,0.6
240,241.0,1.0,0.65,0.65
241,242.0,1.0,0.65,0.7
242,243.0,1.0,0.65,0.75
243,244.0,1.0,0.65,0.8
244,245.0,1.0,0.65,0.85
245,246.0,1.0,0.65,0.9
246,247.0,1.0,0.65,0.95
247,248.0,1.0,0.7,0.05
248,249.0,1.0,0.7,0.1
249,250.0,1.0,0.7,0.15
250,251.0,1.0,0.7,0.2
251,252.0,1.0,0.7,0.25
252,253.0,1.0,0.7,0.3
253,254.0,1.0,0.7,0.35
254,255.0,1.0,0.7,0.4
255,256.0,1.0,0.7,0.45
256,257.0,1.0,0.7,0.5
257,258.0,1.0,0.7,0.55
258,259.0,1.0,0.7,0.6
259,260.0,1.0,0.7,0.65
260,261.0,1.0,0.7,0.7
261,262.0,1.0,0.7,0.75
262,263.0,1.0,0.7,0.8
263,264.0,1.0,0.7,0.85
264,265.0,1.0,0.7,0.9
265,266.0,1.0,0.7,0.95
266,267.0,1.0,0.75,0.05
267,268.0,1.0,0.75,0.1
268,269.0,1.0,0.75,0.15
269,270.0,1.0,0.75,0.2
270,271.0,1.0,0.75,0.25
271,272.0,1.0,0.75,0.3
272,273.0,1.0,0.75,0.35
273,274.0,1.0,0.75,0.4
274,275.0,1.0,0.75,0.45
275,276.0,1.0,0.75,0.5
276,277.0,1.0,0.75,0.55
277,278.0,1.0,0.75,0.6
278,279.0,1.0,0.75,0.65
279,280.0,1.0,0.75,0.7
280,281.0,1.0,0.75,0.75
281,282.0,1.0,0.75,0.8
282,283.0,1.0,0.75,0.85
283,284.0,1.0,0.75,0.9
284,285.0,1.0,0.75,0.95
285,286.0,1.0,0.8,0.05
286,287.0,1.0,0.8,0.1
287,288.0,1.0,0.8,0.15
288,289.0,1.0,0.8,0.2
289,290.0,1.0,0.8,0.25
290,291.0,1.0,0.8,0.3
291,292.0,1.0,0.8,0.35
292,293.0,1.0,0.8,0.4
293,294.0,1.0,0.8,0.45
294,295.0,1.0,0.8,0.5
295,296.0,1.0,0.8,0.55
296,297.0,1.0,0.8,0.6
297,298.0,1.0,0.8,0.65
298,299.0,1.0,0.8,0.7
299,300.0,1.0,0.8,0.75
