,Scenario,Trial,Inspection,Interval,Time,Defects,Rate
0,66,1,1,3,3,32,30
1,66,1,2,8,11,95,80
2,66,1,3,3,14,31,30
3,66,1,4,8,22,0,80
4,66,1,5,3,25,88,30
5,66,1,6,5,30,45,50
6,66,1,7,6,36,55,60
7,66,1,8,6,42,57,60
8,66,1,9,8,50,76,80
9,66,1,10,3,53,25,30
10,66,1,11,8,61,0,80
11,66,1,12,5,66,131,50
12,66,1,13,9,75,78,90
13,66,1,14,6,81,0,60
14,66,1,15,7,88,143,70
15,66,1,16,2,90,0,20
16,66,1,17,4,94,58,40
17,66,1,18,4,98,37,40
18,66,1,19,6,104,53,60
19,66,1,20,6,110,62,60
20,66,1,21,5,115,41,50
21,66,1,22,6,121,59,60
22,66,1,23,8,129,87,80
23,66,1,24,8,137,0,80
24,66,1,25,3,140,120,30
25,66,1,26,4,144,46,40
26,66,1,27,8,152,90,80
27,66,1,28,3,155,29,30
28,66,1,29,3,158,31,30
29,66,1,30,4,162,45,40
30,66,1,31,9,171,0,90
31,66,1,32,3,174,126,30
32,66,1,33,4,178,42,40
33,66,1,34,5,183,61,50
34,66,1,35,2,185,23,20
35,66,1,36,5,190,0,50
36,66,1,37,9,199,0,90
37,66,1,38,9,208,220,90
38,66,1,39,3,211,22,30
39,66,1,40,4,215,31,40
40,66,1,41,7,222,65,70
41,66,1,42,8,230,85,80
42,66,1,43,2,232,0,20
43,66,1,44,4,236,66,40
44,66,1,45,6,242,53,60
45,66,1,46,4,246,0,40
46,66,1,47,5,251,87,50
47,66,1,48,5,256,49,50
48,66,1,49,5,261,0,50
49,66,1,50,2,263,75,20
50,66,1,51,4,267,33,40
51,66,1,52,5,272,48,50
52,66,1,53,3,275,0,30
53,66,1,54,4,279,82,40
54,66,1,55,9,288,93,90
55,66,1,56,8,296,74,80
56,66,1,57,5,301,50,50
57,66,1,58,7,308,0,70
58,66,1,59,5,313,0,50
59,66,1,60,5,318,140,50
60,66,1,61,5,323,49,50
61,66,1,62,2,325,23,20
62,66,1,63,8,333,75,80
63,66,1,64,7,340,0,70
64,66,1,65,9,349,159,90
65,66,1,66,6,355,65,60
66,66,1,67,8,363,77,80
67,66,1,68,4,367,0,40
68,66,1,69,3,370,68,30
69,66,1,70,8,378,79,80
70,66,1,71,2,380,24,20
71,66,1,72,6,386,59,60
72,66,1,73,8,394,75,80
73,66,1,74,3,397,32,30
74,66,1,75,2,399,0,20
75,66,1,76,8,407,87,80
76,66,1,77,9,416,82,90
77,66,1,78,4,420,59,40
78,66,1,79,2,422,0,20
79,66,1,80,9,431,121,90
80,66,1,81,8,439,80,80
81,66,1,82,3,442,23,30
82,66,1,83,2,444,12,20
83,66,1,84,4,448,37,40
84,66,1,85,4,452,0,40
85,66,1,86,3,455,70,30
86,66,1,87,3,458,0,30
87,66,1,88,9,467,122,90
88,66,1,89,4,471,0,40
89,66,1,90,8,479,104,80
90,66,1,91,2,481,18,20
91,66,1,92,5,486,57,50
92,66,1,93,4,490,37,40
93,66,1,94,9,499,0,90
94,66,1,95,3,502,110,30
95,66,1,96,9,511,77,90
96,66,1,97,7,518,83,70
97,66,1,98,7,525,72,70
98,66,1,99,8,533,79,80
99,66,1,100,8,541,82,80
100,66,1,101,4,545,43,40
101,66,1,102,9,554,86,90
102,66,1,103,3,557,30,30
103,66,1,104,9,566,95,90
104,66,1,105,2,568,12,20
105,66,1,106,4,572,29,40
106,66,1,107,7,579,66,70
107,66,1,108,4,583,41,40
108,66,1,109,8,591,80,80
109,66,1,110,9,600,102,90
110,66,1,111,7,607,82,70
111,66,1,112,9,616,90,90
112,66,1,113,8,624,71,80
113,66,1,114,3,627,0,30
114,66,1,115,2,629,51,20
115,66,1,116,5,634,43,50
116,66,1,117,7,641,0,70
117,66,1,118,6,647,136,60
118,66,1,119,5,652,55,50
119,66,1,120,3,655,0,30
120,66,1,121,8,663,126,80
121,66,1,122,5,668,56,50
122,66,1,123,6,674,67,60
123,66,1,124,6,680,55,60
124,66,1,125,8,688,85,80
125,66,1,126,4,692,31,40
126,66,1,127,4,696,0,40
127,66,1,128,3,699,0,30
128,66,1,129,3,702,87,30
129,66,1,130,4,706,0,40
130,66,1,131,6,712,92,60
131,66,1,132,3,715,20,30
132,66,1,133,8,723,0,80
133,66,1,134,6,729,144,60
134,66,1,135,5,734,47,50
135,66,1,136,9,743,79,90
136,66,1,137,7,750,67,70
137,66,1,138,7,757,79,70
138,66,1,139,4,761,47,40
139,66,1,140,7,768,65,70
140,66,1,141,6,774,59,60
141,66,1,142,2,776,24,20
142,66,1,143,7,783,69,70
143,66,1,144,9,792,86,90
144,66,1,145,9,801,94,90
145,66,1,146,7,808,65,70
146,66,1,147,8,816,0,80
147,66,1,148,2,818,0,20
148,66,1,149,5,823,139,50
149,66,1,150,2,825,21,20
150,66,1,151,2,827,25,20
151,66,1,152,7,834,68,70
152,66,1,153,9,843,104,90
153,66,1,154,8,851,64,80
154,66,1,155,4,855,28,40
155,66,1,156,3,858,26,30
156,66,1,157,3,861,0,30
157,66,1,158,5,866,68,50
158,66,1,159,6,872,59,60
159,66,1,160,6,878,68,60
160,66,1,161,4,882,47,40
161,66,1,162,8,890,86,80
162,66,1,163,4,894,35,40
163,66,1,164,7,901,0,70
164,66,1,165,6,907,0,60
165,66,1,166,9,916,0,90
166,66,1,167,3,919,0,30
167,66,1,168,3,922,291,30
168,66,1,169,8,930,70,80
169,66,1,170,9,939,0,90
170,66,1,171,4,943,124,40
171,66,1,172,3,946,28,30
172,66,1,173,8,954,79,80
173,66,1,174,3,957,38,30
174,66,1,175,3,960,0,30
175,66,1,176,7,967,100,70
176,66,1,177,8,975,0,80
177,66,1,178,8,983,0,80
178,66,1,179,5,988,196,50
179,66,1,180,2,990,16,20
180,66,1,181,6,996,59,60
181,66,1,182,2,998,22,20
182,66,1,183,6,1004,0,60
183,66,1,184,9,1013,133,90
184,66,1,185,5,1018,0,50
185,66,1,186,2,1020,0,20
186,66,1,187,6,1026,0,60
187,66,1,188,7,1033,178,70
188,66,1,189,8,1041,76,80
189,66,1,190,9,1050,0,90
190,66,1,191,6,1056,142,60
191,66,1,192,6,1062,48,60
192,66,1,193,5,1067,0,50
193,66,1,194,6,1073,0,60
194,66,1,195,5,1078,0,50
195,66,1,196,3,1081,201,30
196,66,1,197,7,1088,74,70
197,66,1,198,4,1092,46,40
198,66,1,199,3,1095,0,30
199,66,1,200,9,1104,0,90
200,66,1,201,8,1112,176,80
201,66,1,202,6,1118,52,60
